"","y2_countyfips","year","n","agi","county"
"1",5,2008,39392,1855371,"Clackamas"
"2",5,2009,38206,1724506,"Clackamas"
"3",5,2010,37594,1802798,"Clackamas"
"4",5,2011,6212,345429,"Clackamas"
"5",5,2012,6863,432028,"Clackamas"
"6",5,2013,5823,363667,"Clackamas"
"7",5,2014,4238,261399,"Clackamas"
"8",5,2015,6551,513921,"Clackamas"
"9",11,2011,6228,309615,"Clark"
"10",11,2012,6851,497967,"Clark"
"11",11,2013,5731,325798,"Clark"
"12",11,2014,4237,246472,"Clark"
"13",51,2008,95102,3675324,"Multnomah"
"14",51,2009,86375,3200592,"Multnomah"
"15",51,2010,90886,3523546,"Multnomah"
"16",51,2011,17730,827304,"Multnomah"
"17",51,2012,18673,1018237,"Multnomah"
"18",51,2013,17247,917980,"Multnomah"
"19",51,2014,13151,748222,"Multnomah"
"20",51,2015,20593,1318413,"Multnomah"
"21",67,2008,58255,2542497,"washington"
"22",67,2009,51281,2116650,"washington"
"23",67,2010,55192,2481747,"washington"
"24",67,2011,8431,451029,"washington"
"25",67,2012,9109,482126,"washington"
"26",67,2013,7311,394078,"washington"
"27",67,2014,5497,309366,"washington"
"28",67,2015,9104,566489,"washington"
